index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
890,"Li Hua is at home preparing an important speech, but his kitten suddenly jumps on the table and knocks over the water cup, and the water spills on his notebook. Li Hua is busy wiping his notebook, and at this time his friend Xiao Zhang knocks on the door to borrow a book. Li Hua's sister is also playing the guitar in the living room, and the sound is very loud. Suddenly, he receives a text message from his boss, asking him to submit the first draft of the speech tomorrow.","After Li Hua deals with the notebook problem, what does he do next?",He continues to prepare the speech.,He goes to a quiet room to avoid his sister's guitar sound.,He calls his boss to ask for a delay in submitting the speech.,He helps Xiao Zhang find the book he needs.,D,Completion of failed actions
891,"Xiao Hong and Xiao Ming are classmates. Today, when they go to school, all the other classmates in Xiao Hong's class are at school, and Xiao Ming, who usually doesn't like to talk, is sick at home. After school, Xiao Hong goes home, her mother asks her: ""Are all the people in your class at school today?"" Xiao Hong replies: ""Yes, mom.""",Why does Xiao Hong say this?,Xiao Hong deliberately lies to cover up that Xiao Ming does not go to school.,Xiao Hong deliberately lies because Xiao Hong does not go to school today.,Xiao Hong forgets that Xiao Ming is not at school today because Xiao Hong does not go to school today.,"She forgets whether Xiao Ming is at school today or not, because Xiao Ming does not like to talk, she usually does not notice Xiao Ming.",D,Strange Story Task
892,"Zhao Lei attends a costume party with the theme ""Alien Party"". He dresses up as a green alien and confidently walks into the party scene. He is the only one wearing alien clothes, and no one else wears them.",What kind of reaction does Zhao Lei have when he enters the party?,Angry,Surprise,Thrilled,Embarrassed,D,Unexpected Outcome Test
893,"At the company project success celebration, Manager Li praises the team's efforts, especially mentions the R&D group's Xiao Ling. Xiao Ling says, ""Thank you everyone, we all put in a lot, but I am happy to push the project forward at a critical moment."" Director Zhang does not speak in the crowd.",Does Xiao Ling know about Director Zhang's contribution to the project?,Knows,Does not know,,,B,Faux-pas Recognition Test
894,"Xiao Bei and Han Mei Mei wander around the office, they see the storage locker and the handbag, they find a pineapple in the storage locker, Han Mei Mei leaves the office, Xiao Bei moves the pineapple to the handbag.","After Han Mei Mei returns to the office, where does Han Mei Mei think Xiao Bei looks for the pineapple?",Storage locker,Cabinet,Drawer,Handbag,A,False Belief Task
895,"Xiao Li finds a box in the factory, the label on the box is raincoat, Xiao Li cannot see what is inside the box, Xiao Li opens the box and finds a jacket, there is no raincoat inside the box, Xiao Li closes the box and puts it back in its place, Xiao Gang enters the factory and sees the box.",What is inside the box?,Box,Jacket,Raincoat,Compass,B,False Belief Task
896,"A bookstore displays 40 books. The owner tells the customer that most of them are romance novels, some are detective novels, and very few are fairy tales. After browsing, the customer finds that only 10 are detective novels.",Please guess how many romance novels are there after the customer browses?,"After browsing, the customer guesses there are 10 romance novels.","After browsing, the customer guesses there are 25 romance novels.","After browsing, the customer guesses there are 20 romance novels.","After browsing, the customer guesses there are 30 romance novels.",B,Scalar Implicature Test
897,"In the early morning, the bus is as crowded as usual. Zhao Lei gets on the bus and finds her neighbor, Mr. Zhang, is wearing casual clothes that he usually does not wear. She greets him excitedly: ""Mr. Zhang, good morning! Usually, I do not see you go out at this time, do you take a day off today?"" Mr. Zhang nods his head without saying much. The bus drives to the next stop, and Zhao Lei still happily continues to say: ""That is a rare rest time, you must enjoy it."" Mr. Zhang responds with a light ""hmm"", and turns his head to look out the window. Zhao Lei starts to eat the breakfast she just bought.","If there is, which sentence is inappropriate?","Mr. Zhang, good morning! Usually, I do not see you going out at this time, do you take a day off today?","Xiao Ming, you are back, quickly tell us your interesting stories, we all want to hear!",Xiao Li. Let him rest for a while.,No one says what they should not say.,A,Faux-pas Recognition Test
898,"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.",Why does Nana truly feel happy?,Because she likes to stay up late,Because she helps her mother,Because she can watch TV,Because her brother goes to bed early,C,Hidden emotions
899,"Xiao Wang finds a handbag on the farm, the label on the handbag is a jacket, Xiao Wang cannot see what is inside the handbag, Xiao Wang opens the handbag and finds corn, there is no jacket inside the handbag, Xiao Wang closes the handbag and puts it back in its place, Xiao Ming enters the farm and sees the handbag.",What should be inside the handbag?,Bottle,Jacket,Corn,Cabbage,B,False Belief Task
900,"Li Lei and Xiao Bei are wandering in the bar, they see a handbag and a briefcase, they find a cup in the handbag, Xiao Bei leaves the bar, Li Lei moves the cup to the briefcase.","After Xiao Bei returns to the bar, where does Xiao Bei think Li Lei looks for the cup?",Safe,Basket,Handbag,Briefcase,C,False Belief Task
901,"In a large company, manager Emily mistakenly placed an important document about impending layoffs in the shredding room. Janitor Bob, while cleaning the shredding room, threw it into the shredder. At the same time, senior executive Susan was aware of the document's importance, but chose not to inform Bob due to a power struggle with Emily, hoping to see Emily blamed for the mistake. When Emily discovered the missing document and learned that the layoff news had leaked, she became very panicked and started an investigation. Susan told Bob that Emily had accidentally misplaced the document herself, implying that the office conflict triggered the incident and that it was not his fault.",What kind of emotion does Bob feel after realizing that he may have shredded Emily's document by mistake?,"Bob possibly feels satisfied because he completes the task of cleaning the office, helping to clear the scrap paper.",Bob possibly feels confused because he is not sure if he really shreds Emily's document.,Bob possibly feels angry because he is misled to shred the wrong document.,Bob possibly feels panicked and guilty because he may unintentionally cause a significant loss to the company.,A,Moral emotions
902,"Xiao Zhao and Xiao Wang are good friends. Xiao Wang breaks up last weekend. One day, when Xiao Zhao sees Xiao Wang, he says, ""Xiao Wang, why don't you come to the party last weekend? We all miss you."" Xiao Wang briefly replies, ""Oh, I have something."" Seeing this, Xiao Zhao says, ""I hear you are not in a good mood recently, do you want to talk?"" Xiao Wang nods, ""Thank you, I may need some time."" Xiao Zhao responds, ""No problem, when you are ready, we can go out together.""",Does Xiao Zhao know that Xiao Wang breaks up?,Knows,Does not know,,,A,Faux-pas Recognition Test
903,"Zhao Li accidentally finds an ancient temple hidden in the busy city area while she is traveling in Japan, this temple forms a stark contrast with the surrounding modern buildings. Zhao Li also hears some strange sounds near the temple, and the surrounding environment is very quiet.",What emotion does Zhao Li show at this time?,Surprise,Disappointed,Proud,Fear,D,Unexpected Outcome Test
904,"Ren Fei, Cong Cong, and Qiao Er are good friends, they prepare to watch a movie together at Ren Fei's house. Qiao Er comes to Ren Fei's house for the first time. Ren Fei arranges the movie discs, Cong Cong watches on the side. Qiao Er sits on the sofa reading a magazine, occasionally looking up at them. Ren Fei secretly shows a disc to Cong Cong, then smiles at him. Cong Cong looks at it, frowns, but still gives him a smile back. Ren Fei walks to the sofa, takes out that disc and says to Qiao Er: ""This movie is good, let's watch this one."" Qiao Er doesn't speak, just nods.",What do you think Cong Cong feels about this?,"Cong Cong is slightly dissatisfied with Ren Fei's choice, but he respects Ren Fei's decision.",Cong Cong doesn't have any special feelings.,Cong Cong is very satisfied with Ren Fei's choice.,"Cong Cong is surprised by Ren Fei's decision, he thinks that movie is not good.",A,Ambiguous Story Task
905,"Wenhao and Park Zhi are Hanxiao's sons. Today is Hanxiao's birthday. Wenhao and Park Zhi always whisper in the room, not letting Hanxiao get close. Whenever Hanxiao walks into the room, they quickly turn off the computer screen, then smile at Hanxiao, as if nothing happens. At dinner, Park Zhi secretly glances at Wenhao, leaves the room, as if there is an urgent matter to deal with. Hanxiao sees the mysterious behavior of his sons and is confused.",What do you think Hanxiao thinks?,"Hanxiao feels curious about her sons' actions, possibly a bit confused.","Hanxiao thinks her sons hide a bad secret, feels a bit worried.","Hanxiao thinks her sons are addicted to computer games and do not study, feels a bit angry","Hanxiao feels at ease, because she trusts her sons.",A,Ambiguous Story Task
906,Xiao Hong finds her good friend Xiao Mei is eating with the boy she likes.,"She should feel betrayed, but she shows regret, why?","Xiao Mei dates the boy Xiao Hong likes behind her back, Xiao Hong feels heartbroken.","Xiao Hong lacks the courage to confess her love, Xiao Mei is helping Xiao Hong to connect with the boy she likes.","Xiao Hong feels guilty and has a conflict with the boy she likes, so she asks Xiao Mei to mediate.","Xiao Hong worries that the boy she likes falls for Xiao Mei, she is very curious about what they are talking about.",C,Unexpected Outcome Test
907,"Zhou Yu is a lawyer who is passionate about public welfare. He just wins a project to provide free legal advice to low-income residents in the community. This project receives wide welcome and support from community residents, and it raises everyone's legal awareness.",What is Zhou Yu's feeling after the success of the project?,Satisfied,Worried,Jealous,Tired,A,Unexpected Outcome Test
908,"Xiaoming, Liucui, and Donger are colleagues. Recently, they are discussing going to a nearby tourist spot together on the weekend. Xiaoming and Liucui plan in advance. When Donger walks into their office, Xiaoming deliberately tells Donger about the recent food poisoning incident at the tourist spot they want to go to. At the last moment, Liucui looks at Xiaoming and secretly shows a smile. Xiaoming also nods. Donger sees all this and does not ask further about other situations of the tourist spot.",Why does Xiaoming bring up the food poisoning incident at the tourist spot?,"Xiaoming mentions it unintentionally, reminding everyone to pay attention to travel safety.",Xiaoming mentions this to make Donger give up this trip.,Xiaoming mentions this because he himself is afraid of food poisoning.,Xiaoming mentions this to make Donger bring safe food to the tourist spot.,B,Ambiguous Story Task
909,"In a bakery, the baker Xiao Zhang is making various flavors of bread. He tells the waitress Xiao Ling, ""Today we make 20 breads, most of them are baguettes, some are raisin breads, but there are hardly any chocolate breads."" Xiao Ling looks and finds only 5 chocolate breads.","Please ask, before Xiao Ling looks, how many baguettes does she guess?","Before Xiao Ling looks, she guesses there are 20 baguettes.","Before Xiao Ling looks, she guesses there are 19 baguettes.","Before Xiao Ling looks, she guesses there are 18 baguettes.","Before Xiao Ling looks, she guesses there are 10 baguettes.",C,Scalar Implicature Test
910,"On Sunday night, Xiaoqiang's family gathers to discuss the future of the family business. Dad says, ""The future of our family business is very important, I always think about how we should choose the successor."" Mom nods in agreement. Dad looks at Xiaoqiang and continues, ""Xiaoqiang, you have a talent for art, you can develop in this area in the future."" Xiaoqiang replies, ""Actually, I am also very interested in the family business.""","If there is, which sentence is not appropriate?","The future of our family business is very important, I am always thinking about how we should choose a successor.","Xiaoqiang, you have a talent for art, you can develop in this area in the future.","Actually, I am also very interested in the family business.",There is no inappropriate sentence,B,Faux-pas Recognition Test
911,"In a pet shop, Xiao Wang is choosing a pet. The shop owner tells Xiao Wang that there are 40 small animals in the shop, most of them are kittens, some are puppies and very few are hamsters. Xiao Wang counts and finds that there are only 10 puppies.","Before Xiao Wang counts, how many kittens does he guess there are?","Before Xiao Wang counts, he guesses there are 40 kittens.","Before Xiao Wang counts, he guesses there are 35 kittens.","Before Xiao Wang counts, he guesses there are 30 kittens.","Before Xiao Wang counts, he guesses there are 25 kittens.",D,Scalar Implicature Test
912,Chen Lei prepares for an important speech for several months. She stands on the stage and finds that only a few people sit in the audience seats.,What is the possible reaction of Chen Lei standing on the stage?,Thrilled,Fear,Curious,Disappointed,D,Unexpected Outcome Test
913,"Xiao Hong wants to persuade her roommate Li Ming to reduce the noise at night, because she prepares to take an important professional qualification exam and needs a quiet study environment.",How does Xiao Hong persuade Li Ming?,She shows Li Ming research on the effects of a quiet study environment on learning to enhance persuasion.,"Xiao Hong tries to adjust her study time, such as getting up early to study.",She proposes a short-term trial period to see if quietness at night is feasible.,"Xiao Hong tells Li Ming her needs directly, explains the importance of the exam and why she needs quiet.",D,Persuasion Story Task
914,"Wang Ming attends his favorite football team's live game for the first time. The moment the team scores, cheers erupt from the crowd, and Wang Ming waves the team flag in the crowd. Later, the opposing team's players insult and shove the players of Wang Ming's favorite team.",What is Wang Ming's reaction when he sees the team conflict?,Indifferent,Angry,Sadness,Excited,B,Unexpected Outcome Test
915,"Zhang Wei is a professional basketball player, his life is full of training and games, he believes that sports competition and team spirit are important parts of life. His wife, Li Na, is a famous pianist, her life is full of music and performances, she believes that art and music are the core of human emotional expression. They are about to celebrate their wedding anniversary. Zhang Wei wants to prepare a surprise for Li Na for this special day, and also prepares a gift for himself that echoes it, as their common memory.",What gift does Zhang Wei most likely prepare for Li Na?,Professional basketball equipment,High-end concert evening dress,Customized music-themed sportswear,Fashion brand piano accessory package,C,Discrepant desires
916,"After school on Wednesday, Xiao Ming and his deskmate Xiao Hua chat about yesterday's math exam in the classroom. Xiao Hua says: ""The design of this exam is really difficult, I can only get about half right."" Xiao Ming nods and says: ""Yes, I also find it very difficult."" At this time, their classmate Xiao Li comes over and interrupts: ""I hear that someone in the class scores very low on the exam, even fails, it really is embarrassing."" Xiao Hua is silent for a while, then says: ""I need to go home, goodbye.""","If there is, which sentence is inappropriate?","The design of this exam is really difficult, I can only get about half right.","I need to go home, goodbye.","I hear that someone in the class scores very low on the exam, even fails, it really is embarrassing.",There is no inappropriate sentence.,C,Faux-pas Recognition Test
917,"Li Lei and Xiao Bei are wandering in the bar, they see a handbag and a briefcase, they find a cup in the handbag, Xiao Bei leaves the bar, Li Lei moves the cup to the briefcase.",Where is the cup now?,Briefcase,Handbag,Basket,Box,A,False Belief Task
918,"In an office meeting, Si Xuan is asked if she likes the new boss. Although she does not really like him, Si Xuan answers, ""Yes, I really like him!",Is what Si Xuan says true?,Yes,No,,,B,Strange Story Task
919,"Zhang Feng participates in the school's art exhibition. After the exhibition ends, he leaves his sketchbook in the classroom, but mistakenly thinks he puts it back in his backpack. At night, his mother asks, ""Where is your sketchbook?"" Zhang Feng replies, ""I put it back in my backpack, Mom.""",Why does Zhang Feng say this?,Zhang Feng intentionally lies because he does not want his mother to worry.,Zhang Feng remembers the sketchbook is in his backpack.,Zhang Feng wants to test if his mother cares about his sketchbook.,Zhang Feng forgets he leaves the sketchbook in the classroom.,D,Strange Story Task
920,"Zhang Lei participates in the popular escape room game in the friend circle for the first time. She enters the room, looks around, and carefully observes every corner.","Zhang Lei should show curiosity, but in fact, she appears disappointed, why?","Zhang Lei finds that the layout of the secret room does not meet her aesthetic needs, and does not reach the level she expects in her heart.","Zhang Lei is an escape room expert, but the difficulty of this game is too high, which gives her a considerable challenge.","Zhang Lei finds that the layout and puzzles of this secret room are very similar to those she has played before, lacking novelty.","The design of the secret room reminds Zhang Lei of her unpleasant past experiences, which makes her feel disappointed.",C,Unexpected Outcome Test
921,"In a class at a school, there are 20 students, almost half of them play the piano. The teacher talks to some students and finds out that 5 of them play the piano.","Before the teacher talks to the students, how many students do you guess play the piano?","Before the teacher talks to the students, I guess 9 students play the piano.","Before the teacher talks to the students, I guess 5 students play the piano.","Before the teacher talks to the students, I guess 10 students play the piano.","Before the teacher talks to the students, I guess 6 students play the piano.",A,Scalar Implicature Test
922,"Zhiqiang and Xiaoli are members of the community environmental protection group, they are planning an environmental protection public welfare activity. Feifei is a new member of the group, today is her first time attending a group meeting, she is not very confident in herself. Xiaoli and Zhiqiang are discussing who is responsible for collecting and classifying all plastic waste activities. They have too many tasks to be responsible for, they cannot handle it. Suddenly, Xiaoli sees Feifei, then she winks at Zhiqiang, Zhiqiang nods.",What does Xiaoli do?,Helps Zhiqiang collect and classify plastic waste,Suggests that Zhiqiang is responsible for collecting and classifying plastic waste.,Invites Feifei to join her in the plastic waste collection and classification activity.,Suggests to Zhiqiang to encourage Feifei to be responsible for the plastic waste collection and classification activity.,D,Prediction of actions
923,"The office on Friday fills with relaxation and joy, everyone discusses their weekend plans. The project manager hopes everyone shares their plans, welcoming the upcoming weekend with a positive attitude. Lina speaks first: ""I plan to enjoy a peaceful weekend, and catch up on some sleep."" She then asks Minghao: ""What about you, Minghao, do you have any special plans for the weekend?"" Minghao smiles and answers: ""I want to go cycling in the countryside, breathe some fresh air."" The project manager agrees: ""That's a good idea. I plan to take my family to the beach.""","If there is, which sentence is inappropriate?","I plan to enjoy a peaceful weekend, and catch up on some sleep.","I want to go cycling in the countryside, breathe some fresh air.",That's a good idea. I plan to take my family to the beach.,No one says anything inappropriate.,D,Faux-pas Recognition Test
924,"The company moves to a new office building recently. Manager Zhang is in charge of allocating office areas, he decides to assign the seats by the window to the high-performance employees of the department. Li Gong is an ordinary employee in the department, he always wants a seat by the window. Manager Zhang announces at the weekly meeting: ""Starting from next week, we have a new seating arrangement. I know everyone likes the seats by the window, so I decide to assign them to our high-performance employees."" Li Gong hears this and smiles, he does not say anything.",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,A,Faux-pas Recognition Test
925,"Xiao Gang and Xiao Li wander around in the waiting room, they see a handbag and a cabinet, they find a ring in the handbag, Xiao Li leaves the waiting room, Xiao Gang moves the ring to the cabinet.","After Xiao Li returns to the waiting room, where does Xiao Li look for the ring?",Handbag,Suitcase,Briefcase,Cabinet,A,False Belief Task
926,"Zhao Min is a respected teacher in the community, she recently launches a community education project, aiming to help drop-out children return to school. Her efforts receive wide support and praise from community parents and colleagues.","Zhao Min should feel excited about the community's support, why does she actually feel melancholy?","Zhao Min worries that parents only superficially agree with her project, rather than truly agree with her project in their hearts.","Zhao Min's power is very weak alone, there are still many children in the community who need help but do not receive attention.",Zhao Min feels melancholy about whether her efforts can truly change the future of these children.,Zhao Min worries about whether the children returning to school can adapt to the school environment and whether her own approach is appropriate.,B,Unexpected Outcome Test
927,"Han Meimei finds a backpack in the bedroom, the label on the backpack is a tie, Han Meimei cannot see what is inside the backpack, Han Meimei opens the backpack and finds a pumpkin, there is no tie inside the backpack, Han Meimei closes the backpack and puts it back in its place, Youyou enters the bedroom and sees the backpack.",What should be inside the backpack?,Crayon,Pumpkin,Tie,Calculator,C,False Belief Task
928,"One day after school, Xiao Li and Xiao Jie chat outside the gym. Xiao Li suggests, ""Tomorrow we go to the amusement park, change the environment."" Xiao Jie happily agrees, then Xiao Li adds, ""We haven't gone out together for a long time, if Xiao Hua also wants to come, let him come too."" The next day, they meet Xiao Hua at the entrance of the amusement park, Xiao Hua says, ""Great, we can play together.""","If there is, which sentence is inappropriate?","Tomorrow we go to the amusement park, change the environment.","We haven't gone out together for a long time, if Xiao Hua also wants to come, let him come too.","Great, we can play together.",There is no inappropriate sentence,D,Faux-pas Recognition Test
929,"On a beautiful night, Zhang Sheng decides to propose to his beloved girlfriend Li Lei in the park. He carefully plans a romantic proposal and prepares a beautiful engagement ring. When they walk to the fountain in the center of the park, Zhang Sheng nervously takes out the ring and kneels down, ready to propose to Li Lei. However, he is full of unease because he knows that Li Lei always longs to live far away from city life, to live in a quiet place. He also wants to spend his life with her, but he does not want to leave his city job, and he does not leave the city. In order to persuade Li Lei to agree to marry him as soon as possible, he says, ""Li Lei, I am willing to leave the city and go to the quiet place you want.""",Does Li Lei feel surprised?,Yes,No,,,A,Strange Story Task
930,"Zhao Rong and Liu Ming are couples in a long-term love relationship, and Liu Ming gives a lot in this relationship. During a clear weekend outing, Liu Ming carefully prepares Zhao Rong's favorite picnic food and activities.","Zhao Rong should feel happy about Liu Ming's thoughtful preparation, but she shows anxiety, why?",Zhao Rong worries that Liu Ming's work is too busy to maintain such special care for a long time.,"Zhao Rong constantly thinks about the future of their relationship, but Liu Ming never takes further action.","Zhao Rong is dissatisfied with some of Liu Ming's habits and some of the prepared food, even though he prepares so much.",Zhao Rong worries that the plan for the outing may get ruined by sudden bad weather.,B,Unexpected Outcome Test
931,"In a pet store, customer Xiao Wang is choosing a puppy. He tells the store owner Xiao Li, ""There are 20 puppies here, most of them are golden retrievers, some are poodles, but there are hardly any Dalmatians."" Xiao Li looks carefully and finds that there are only 5 poodles.","After Xiao Li looks carefully, how many golden retrievers does he guess there are?","After Xiao Li looks carefully, he guesses there are 12 golden retrievers.","After Xiao Li looks carefully, he guesses there are 15 golden retrievers.","After Xiao Li looks carefully, he guesses there are 19 golden retrievers.","After Xiao Li looks carefully, he guesses there are 16 golden retrievers.",A,Scalar Implicature Test
932,"Xiaohua passes by a luxurious toy store every day, she particularly wants a beautiful doll there. However, when her parents ask her what she wants for her birthday, Xiaohua says she wants nothing.",Why does Xiaohua tell her parents she wants nothing?,She really wants no gifts.,"She thinks the doll is too expensive, she does not want her parents to spend money.",She hopes her parents give her a surprise.,She does not like that toy store.,B,Strange Story Task
933,"Xiao Chen is 20 years old this year, and he shares knowledge about sexual orientation and gender identity with his family, making them believe that every kind of love is equal.",How does Xiao Chen convince his family?,"He shares some scientific research, indicating that sexual orientation and gender identity are innate, not personal choices.","He shows his friendship with friends of various sexual orientations and gender identities, letting his family see that they are also ordinary people.","He asks his family what their definition of love is, and shares his own views.","He invites friends with different sexual orientations or gender identities to his home, letting his family interact with them in daily life.",C,Persuasion Story Task
934,"Xiao Zhang is a newly graduated designer, he designs an advertisement poster for a local charity event for free. On the day of the event, his poster is used as the main promotion for the event. However, Xiao Zhang finds that another designer's name is added to the poster, and his name is minimized and placed in the corner.",What emotion does he show at this time?,Embarrassed,Proud,Feeling betrayed,Disappointed,C,Unexpected Outcome Test
935,"Mingming, Xiaohan, and Weiguang are good friends, they plan to drive together for a trip. The three people do not decide where to play, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose A and B attractions, and fewer people choose C attractions. At this time, Xiaohan and Weiguang look at each other, then Xiaohan reaches out and pats Mingming who is facing away from them. Then, Xiaohan looks at Weiguang, then shows Mingming the screenshot of the netizen's share of the C attraction that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.",Why does Xiaohan show Mingming the screenshot of the netizen's share of the C attraction?,"Xiaohan finds the C attraction fun through the screenshot shared by netizens, so she recommends it to Mingming.","Xiaohan and Weiguang intend to go to the C attraction, and ask Mingming's opinion in this way.",Xiaohan hopes that Mingming also appreciates the pictures taken by netizens together.,"Xiaohan just casually shows Mingming a picture, there is no other meaning.",B,Ambiguous Story Task
936,"Li Lei finds a backpack in the living room, the tag on the backpack is a sweatshirt, Li Lei cannot see what is inside the backpack, Li Lei opens the backpack and finds a light bulb, there is no sweatshirt inside the backpack, Li Lei closes the backpack and puts it back where it belongs, Han Meimei enters the living room and sees the backpack.","After Han Meimei opens the backpack, what does Han Meimei think Li Lei expects to find inside the backpack?",Sweatshirt,Pineapple,Light bulb,Coconut,A,False Belief Task
937,"Xiao Bei and Xiao Ming are hanging out in the garage, they see a drawer and a storage cabinet, they find a jacket in the drawer, Xiao Ming leaves the garage, Xiao Bei moves the jacket to the storage cabinet.",Where is the jacket before?,Drawer,Safe,Box,Storage cabinet,A,False Belief Task
938,"Graduate student Zhang Lei and her classmate Zhao Ming are good friends. Zhao Ming firmly believes that only quantitative methods are effective in academic research, while Zhang Lei thinks that qualitative research is equally important.",How does Zhang Lei convince Zhao Ming?,"She shows some successful cases of qualitative research, explaining how these studies bring profound insights into specific fields.","She explains that qualitative and quantitative research complement each other, and their combination provides a more comprehensive perspective.","She raises some key questions, letting Zhao Ming think about how to solve these problems only through quantitative methods.",She provides a literature review about the impact of qualitative research.,A,Persuasion Story Task
939,"Xiao Red and Xiao North stroll around in the reading room, they see a box and a backpack, they find bananas in the box, Xiao North leaves the reading room, Xiao Red moves the bananas to the backpack.","After Xiao North returns to the reading room, where does Xiao Red look for the bananas?",Cabinet,Backpack,Box,Drawer,B,False Belief Task
940,"Mary is a very strict English teacher, she has very high requirements for students' essays. One day, she is correcting students' English essays, and she says to a student named Huang who is not performing well, ""Huang, your essay is as mysterious as the revelation.""",What does Mary really mean when she says this?,Huang's essay is extremely adventurous,Huang's essay is exceptionally profound,Huang's essay is very engaging,Huang's essay is vague,D,Hinting Task Test
941,"Zhang Meng receives an envelope from abroad, inside is a birthday card from her cousin with whom she has not been in contact for a long time.",What is Zhang Meng's reaction after opening the envelope?,Angry,Feeling betrayed,Happy,Feeling abandoned,C,Unexpected Outcome Test
942,"In a rural elementary school campus, students Xiao Ming and Xiao Hong observe the animals in the campus. Xiao Ming says to Xiao Hong, ""There are 40 birds here, most of them are sparrows, some are magpies, but there are hardly any pigeons."" Xiao Hong counts and finds that there are only 5 magpies.",How many sparrows does Xiao Hong guess before counting?,"Before counting, Xiao Hong guesses 40 sparrows.","Before counting, Xiao Hong guesses 39 sparrows.","Before counting, Xiao Hong guesses 20 sparrows.","Before counting, Xiao Hong guesses 35 sparrows.",D,Scalar Implicature Test
943,"At lunchtime, the student cafeteria is bustling. Yiran sits next to Lili, who always pays attention to healthy eating. On Yiran's tray is a serving of pig's feet rice, while Lili's plate is full of colorful vegetables and homemade bean paste. ""Lili, how is your day going?"" Yiran asks while eating his pig's feet rice. ""Very good, thank you! I just come back from the gym, today's class is particularly tiring."" Lili answers, picking up a carrot stick and dipping it in mashed potatoes. The PE teacher, Mr. Tang, joins them with his lunch, ""Lili, I see your performance in the gym, you make great progress this semester! Keep it up."" He encourages. ""Thank you, Mr. Tang,"" Lili answers with a smile, ""I try to match my eating habits with my fitness goals."" Yiran nods, ""That's pretty good, it looks like you enjoy it. Keep going!""",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story,No one says anything inappropriate in the story.,,,B,Faux-pas Recognition Test
944,"Wang Qiang plays too late, his mother makes many calls to him to go home. He rushes home, leaves the game controller at his friend's house in a hurry. His mother asks, ""Where is your game controller?"" Wang Qiang answers, ""It is in my bag.""",Does Wang Qiang tell the truth?,Yes,No,,,B,Strange Story Task
945,"On weekend nights, Xiao Li and Xiao Wang have dinner in a romantic restaurant. In the conversation, Xiao Li says, ""Xiao Wang, I find a great apartment, we can consider moving in. What do you think?"" Xiao Wang is a bit surprised, stays silent for a while, then says, ""The atmosphere of this restaurant is really good."" Xiao Li continues, ""I think this is an important step in our relationship. Don't you think so too?""",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,A,Faux-pas Recognition Test
946,"Liu Yang is quietly reading his favorite novel in the coffee shop, suddenly, a customer is talking loudly on the phone behind him, completely disregarding others. He turns his head and finds that he does not know that person.",What reaction does Liu Yang possibly have?,Angry,Curious,Happy,Surprise,A,Unexpected Outcome Test
947,"One night, Xiao Li comes to her mother's house with her two-year-old daughter. At the dinner table, her mother mentions Xiao Li's childhood parenting experience. At this time, the elder brother says to Xiao Li, ""I know you have your own parenting style, you don't necessarily have to be exactly like mom."" Xiao Li nods and says, ""Yes, every child has their own characteristics."" The elder brother agrees and says, ""Yes, we should respect the child's personality.""",How old is Xiao Li's child?,One year old,Two years old,Three years old,Four years old,B,Faux-pas Recognition Test
948,"Xiaofang and Xiao Jie discuss the wedding date. Xiaofang says, ""We can choose June 15th or July 20th."" Xiao Jie thinks for a moment and says, ""How about June 15th?"" Xiaofang says, ""I hope it is July 20th, the weather should be very good that day."" Xiao Jie does not speak, Xiao Jie's mother quietly says on the side, ""That day is... a special day.""",Does anyone in this story say something inappropriate?,Someone in the story says something inappropriate.,No one in the story says anything inappropriate.,,,A,Faux-pas Recognition Test
949,"The new semester of university starts, Xiao Wang and Xiao Zhao become roommates in the dormitory. Xiao Wang's family condition is relatively good, Xiao Zhao's is not so good. One day, Xiao Wang buys some new clothes and snacks, Xiao Zhao sees and asks: ""These new things look pretty good, you shop a lot recently, huh?"" Xiao Wang smiles and replies: ""Yes, I occasionally treat myself well. Do you need anything? I can keep an eye out for you next time."" Xiao Zhao says: ""No need, but thank you for your offer.""","If there is, which sentence is inappropriate?","These new things look pretty good, you shop a lot recently, right?","Yes, I occasionally treat myself well. Do you need anything? I can keep an eye out for you next time.","No need, but thank you for your offer.",There is no inappropriate sentence,D,Faux-pas Recognition Test
950,"Li Na is a city planner, she proposes a plan to rebuild the old park at the community meeting. However, this proposal meets strong opposition from some community residents, but at the same time, many community residents support her proposal and give her great respect and gratitude.",What is Li Na's feeling after proposing the park reconstruction proposal?,Nervous,Touched,Regretful,Angry,B,Unexpected Outcome Test
